horizon,median,pctl_84,pctl_16,variable,model
1,-0.6459437400108149,-0.5894447343598689,-0.6985707663896565,output,bayesian_fd
2,-0.6601946743172962,-0.5894401472318532,-0.7287987868484557,output,bayesian_fd
3,-0.6422283723905842,-0.5525047947000573,-0.7361478760180091,output,bayesian_fd
4,-0.6022779470474939,-0.49904275535509046,-0.7137370496982711,output,bayesian_fd
5,-0.5550312266202877,-0.4397726757603249,-0.6808621035167475,output,bayesian_fd
6,-0.5037166147476855,-0.3731944092341498,-0.6393578564233882,output,bayesian_fd
7,-0.44791594366569343,-0.3089215995813647,-0.5944420883809134,output,bayesian_fd
8,-0.3901703462669204,-0.2432547686319086,-0.5458047888356284,output,bayesian_fd
9,-0.3353734302872691,-0.17916957185145624,-0.4987606504681683,output,bayesian_fd
10,-0.2787753495064548,-0.12139276596440407,-0.4536170026532912,output,bayesian_fd
11,-0.22816262923138347,-0.06224219578746759,-0.411974504811833,output,bayesian_fd
12,-0.1864808426431528,-0.014440199519534947,-0.36802468447061787,output,bayesian_fd
13,-0.1460777087144004,0.030322694827236134,-0.328212669837347,output,bayesian_fd
14,-0.11577692706736012,0.0614716877130193,-0.301105114593789,output,bayesian_fd
15,-0.09040275185836813,0.09665362153154908,-0.2735064516298125,output,bayesian_fd
16,-0.06923021842045848,0.12148810039927396,-0.25120149313126267,output,bayesian_fd
17,-0.050832827131546215,0.14307101560061117,-0.23075025824557233,output,bayesian_fd
18,-0.03811226813324008,0.15450314076861243,-0.21775190538238792,output,bayesian_fd
19,-0.02805167684624423,0.16465501930045331,-0.21300361614892616,output,bayesian_fd
20,-0.024629254947590527,0.17055717088347494,-0.2080556625029062,output,bayesian_fd
21,-0.019588346676583556,0.17144989894472284,-0.20694933790615522,output,bayesian_fd
22,-0.021842137077805572,0.16852660596480087,-0.2040416641072036,output,bayesian_fd
23,-0.025854724214772223,0.15960688535972362,-0.20521990701755974,output,bayesian_fd
24,-0.027414278588990627,0.14973598050566844,-0.20965124977688998,output,bayesian_fd
25,-0.03272626533121044,0.1423614642584239,-0.21429545322712354,output,bayesian_fd
26,-0.039456207149879616,0.1310383505319442,-0.2193050951564007,output,bayesian_fd
27,-0.04754877356426856,0.12111890370173162,-0.22677320496466602,output,bayesian_fd
28,-0.05751904670621287,0.10882016726872037,-0.23554042291749308,output,bayesian_fd
29,-0.06576956335995841,0.09765196154002198,-0.24102769051246528,output,bayesian_fd
30,-0.07436480421754198,0.08951162864295287,-0.2491801799830647,output,bayesian_fd
31,-0.08212209966382016,0.07803898568035712,-0.2541985291089621,output,bayesian_fd
32,-0.08960351842892769,0.06664106813933614,-0.26209027475663255,output,bayesian_fd
33,-0.09412350900160851,0.05704833854461233,-0.2669713311762788,output,bayesian_fd
34,-0.10104021537703742,0.04689254345803793,-0.2707202051324713,output,bayesian_fd
35,-0.10661240112743742,0.04204552642807006,-0.2725803907251066,output,bayesian_fd
36,-0.11098903048874785,0.03874522840456197,-0.27550602508138394,output,bayesian_fd
37,-0.1142228976476799,0.035107043091616795,-0.2786162359343047,output,bayesian_fd
38,-0.11814971230176201,0.030138306179987463,-0.2808427254441871,output,bayesian_fd
39,-0.12047333112998461,0.026730788480859108,-0.28316010284542037,output,bayesian_fd
40,-0.12176065373715353,0.02617054747473966,-0.2883432255869109,output,bayesian_fd
1,-2.338695445078897,-2.140450622918558,-2.513707326631477,investment,bayesian_fd
2,-2.392575058721226,-2.144162719293054,-2.6047347075990355,investment,bayesian_fd
3,-2.1912907832489994,-1.8907787379675338,-2.4677931678189697,investment,bayesian_fd
4,-1.9390166368556638,-1.5912926765967188,-2.2858734430381276,investment,bayesian_fd
5,-1.6747743961951882,-1.2764359843908406,-2.062078897786723,investment,bayesian_fd
6,-1.3978434545362188,-0.9573373493005951,-1.8308926329973767,investment,bayesian_fd
7,-1.123782735014482,-0.6648876124195022,-1.5837937191898417,investment,bayesian_fd
8,-0.8667673091160205,-0.4031981866969518,-1.3413367305167916,investment,bayesian_fd
9,-0.6326014862849931,-0.16057517576342603,-1.1110724453881744,investment,bayesian_fd
10,-0.41552270247302003,0.06550035596925727,-0.9007342595072603,investment,bayesian_fd
11,-0.22146232392770046,0.2525694915020908,-0.7098057656567839,investment,bayesian_fd
12,-0.06275387957157126,0.402312787647907,-0.5469652933648296,investment,bayesian_fd
13,0.06910696597576868,0.5433925597665166,-0.39629925829686985,investment,bayesian_fd
14,0.1845903233551942,0.6586693087946184,-0.29168206253773454,investment,bayesian_fd
15,0.2523266385626161,0.7305031365605639,-0.19914110912720406,investment,bayesian_fd
16,0.31914411530762354,0.794282849792385,-0.1328303254942535,investment,bayesian_fd
17,0.35196601085004264,0.8312350860659715,-0.09517390583260785,investment,bayesian_fd
18,0.3674520844703171,0.8469473979308,-0.07807048397244773,investment,bayesian_fd
19,0.36450067282568444,0.8376861026471514,-0.06875684868694894,investment,bayesian_fd
20,0.35489990895111234,0.8298301086403196,-0.07307255945465947,investment,bayesian_fd
21,0.32871207717276374,0.7953040320335405,-0.0695441276618656,investment,bayesian_fd
22,0.2939369397801852,0.7549363185512662,-0.08886690001149951,investment,bayesian_fd
23,0.2568263702629533,0.6985747396423154,-0.11887416164846805,investment,bayesian_fd
24,0.21289637553246998,0.6357207254194069,-0.1537401605405594,investment,bayesian_fd
25,0.1717977858709685,0.5814133616597874,-0.1920397245339856,investment,bayesian_fd
26,0.12332380856595909,0.5152774497324453,-0.22112104456655934,investment,bayesian_fd
27,0.07880415031806574,0.4593695054285558,-0.2567884793587652,investment,bayesian_fd
28,0.03438686205555752,0.40007604844724903,-0.296491628832261,investment,bayesian_fd
29,-0.0032397154556987095,0.34711827350860636,-0.33206158213323705,investment,bayesian_fd
30,-0.039186289105038505,0.29088724894026213,-0.35693434957592207,investment,bayesian_fd
31,-0.08133887988470953,0.2318103711620949,-0.3881672632058304,investment,bayesian_fd
32,-0.11437931760446333,0.19125813976531392,-0.41772706882032934,investment,bayesian_fd
33,-0.14187596473130518,0.1542593070463562,-0.44847906348948297,investment,bayesian_fd
34,-0.16336320919149294,0.12620683457451684,-0.46165698285041634,investment,bayesian_fd
35,-0.18006807239923067,0.1037404259590805,-0.47466200099383266,investment,bayesian_fd
36,-0.19585191489587278,0.08400822733598802,-0.4906955695824274,investment,bayesian_fd
37,-0.20409755272997912,0.05918574272442689,-0.4980709109049653,investment,bayesian_fd
38,-0.21067809001824456,0.05060726188104841,-0.5066579116453799,investment,bayesian_fd
